bearing_type,num_industries,p_value,is_significant
Bearing_276,2,0.0,True
Bearing_12,3,0.0,True
Bearing_49,4,0.0,True
Bearing_205,2,1e-05,True
Bearing_15,2,1e-05,True
Bearing_52,2,1e-05,True
Bearing_5,2,2e-05,True
Bearing_116,2,2e-05,True
Bearing_33,2,2e-05,True
Bearing_353,2,3e-05,True
Bearing_3,3,4e-05,True
Bearing_105,3,5e-05,True
Bearing_379,2,9e-05,True
Bearing_427,2,0.00011,True
Bearing_109,2,0.00019,True
Bearing_119,3,0.00025,True
Bearing_66,2,0.00025,True
Bearing_43,2,0.0003,True
Bearing_30,2,0.0011,True
Bearing_55,2,0.00205,True
Bearing_7,2,0.00226,True
Bearing_11,2,0.00267,True
Bearing_141,2,0.00308,True
Bearing_48,2,0.00322,True
Bearing_16,2,0.00372,True
Bearing_24,2,0.00618,True
Bearing_135,2,0.00798,True
Bearing_88,2,0.00872,True
Bearing_220,2,0.01,True
Bearing_13,3,0.01388,True
Bearing_96,2,0.01609,True
Bearing_173,2,0.03016,True
Bearing_41,2,0.03323,True
Bearing_61,4,0.03813,True
Bearing_26,3,0.04477,True
Bearing_6,2,0.05493,False
Bearing_225,2,0.05579,False
Bearing_115,2,0.07485,False
Bearing_224,2,0.08753,False
Bearing_204,2,0.11032,False
Bearing_132,2,0.1602,False
Bearing_93,3,0.16454,False
Bearing_59,2,0.20371,False
Bearing_46,2,0.27412,False
Bearing_123,2,0.27762,False
Bearing_20,2,0.27965,False
Bearing_37,2,0.28696,False
Bearing_98,2,0.29625,False
Bearing_22,4,0.31012,False
Bearing_34,2,0.33054,False
Bearing_81,3,0.33229,False
Bearing_19,2,0.35507,False
Bearing_18,2,0.36478,False
Bearing_241,2,0.39387,False
Bearing_134,2,0.49828,False
Bearing_47,2,0.52451,False
Bearing_27,2,0.54669,False
Bearing_58,2,0.5597,False
Bearing_69,2,0.74594,False
Bearing_91,2,0.79176,False
