industry_type,count,avg_life,median_life,severity_rate
INDUSTRY_1,1673,487.1279139270771,395.0,0.5481171548117155
INDUSTRY_10,147,466.5034013605442,525.0,0.6666666666666666
INDUSTRY_11,176,427.6363636363636,459.5,0.45454545454545453
INDUSTRY_12,51,468.2549019607843,314.0,0.5686274509803921
INDUSTRY_13,83,289.48192771084337,306.0,0.5421686746987951
INDUSTRY_16,17,240.05882352941177,201.0,0.8235294117647058
INDUSTRY_2,140,447.9642857142857,386.0,0.5428571428571428
INDUSTRY_3,528,617.8068181818181,608.0,0.48295454545454547
INDUSTRY_4,157,164.56050955414014,108.0,0.6496815286624203
INDUSTRY_5,308,431.52597402597405,406.0,0.36688311688311687
INDUSTRY_6,33,451.5151515151515,435.0,0.42424242424242425
INDUSTRY_7,3668,456.51908396946567,432.0,0.4910032715376227
INDUSTRY_8,16,636.5,801.5,0.6875
INDUSTRY_9,59,542.9322033898305,501.0,0.4067796610169492
