machine_type,count,avg_life,median_life,severity_rate
Blower - Blower,1051,467.534728829686,453.0,0.4043767840152236
Blower - Root Blower,25,450.52,408.0,0.36
Conveyor - Belt Conveyor,101,478.8712871287129,292.0,0.6633663366336634
Conveyor - Bucket Elevator,80,472.9375,426.5,0.6625
Crusher - Cone Crusher,10,559.1,585.0,0.6
Crusher - Hammer Crusher,112,397.95535714285717,362.5,0.4107142857142857
Crusher - Jaw Crusher,34,244.97058823529412,167.5,0.6470588235294118
Dryer Cylinder,28,220.57142857142858,138.0,0.8214285714285714
Fan - Axial Fan,191,405.28795811518324,409.0,0.4973821989528796
Fan - Centrifugal Fan(Double Suction),242,283.4297520661157,284.0,0.5785123966942148
Fan - Centrifugal Fan(Single Suction),1507,492.9535500995355,446.0,0.48639681486396813
Fan - Over Hung Fan,734,486.9863760217984,455.5,0.42915531335149865
Gearbox - Bevel Gearbox,142,409.5774647887324,387.0,0.528169014084507
Gearbox - Helical Gearbox,322,655.7080745341615,660.0,0.5993788819875776
Gearbox - Planetary Gearbox,26,167.65384615384616,153.5,0.5384615384615384
Gearbox - Worm Gearbox,11,565.8181818181819,580.0,0.36363636363636365
Mill - Ball Mill,16,648.625,687.0,0.4375
Mill - Pinion,24,351.125,326.0,0.7083333333333334
Mill - Roller Press,11,310.27272727272725,292.0,0.7272727272727273
Mixer - Mixer,22,577.3636363636364,558.5,0.7272727272727273
Motor - AC Motor,1524,459.8300524934383,428.0,0.571522309711286
Motor - DC Motor,55,408.6363636363636,349.0,0.6363636363636364
Others - Non Standard,120,610.875,557.5,0.5666666666666667
Pinion - Pinion,37,523.8648648648649,434.0,0.5945945945945946
Pump - Centrifugal Pump (Multi Stage),93,321.505376344086,261.0,0.46236559139784944
Pump - Centrifugal Pump (Over-Hung),106,385.7169811320755,382.5,0.42452830188679247
Pump - Centrifugal Pump(Simply Supported),275,451.26181818181817,458.0,0.44363636363636366
Pump - Screw Pump,14,378.7142857142857,346.0,0.35714285714285715
Roll - Granulator,12,251.83333333333334,281.0,0.4166666666666667
Roller - Calendar Roll,51,377.3921568627451,252.0,0.7254901960784313
Rope - Drum,10,462.2,263.0,0.5
Spindle - Spindle,29,540.448275862069,561.0,0.7241379310344828
