bearing_make,mean,count,context,p_value
MAKE_1,696.5263157894736,19,INDUSTRY_11|Blower - Blower|4000.0,0.3505482879716323
MAKE_7,596.1666666666666,12,INDUSTRY_11|Blower - Blower|4000.0,0.3505482879716323
MAKE_4,616.5454545454545,11,INDUSTRY_2|Blower - Blower|3000.0,0.7629422311176285
MAKE_6,552.1428571428571,14,INDUSTRY_2|Blower - Blower|3000.0,0.7629422311176285
MAKE_15,712.3636363636364,11,INDUSTRY_7|Blower - Blower|1440.0,0.1384331144591844
MAKE_1,578.2142857142857,42,INDUSTRY_7|Blower - Blower|1440.0,0.1384331144591844
MAKE_5,533.9333333333333,15,INDUSTRY_7|Blower - Blower|1440.0,0.1384331144591844
MAKE_5,586.2962962962963,27,INDUSTRY_7|Blower - Blower|1480.0,0.6037474755432257
MAKE_1,561.3333333333334,24,INDUSTRY_7|Blower - Blower|1480.0,0.6037474755432257
MAKE_1,470.57142857142856,14,INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1485.0,0.05316927206263809
MAKE_5,146.3,10,INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1485.0,0.05316927206263809
MAKE_1,476.18918918918916,37,INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|990.0,0.04033462148147862
MAKE_4,363.1333333333333,15,INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|990.0,0.04033462148147862
MAKE_1,634.6129032258065,31,INDUSTRY_7|Motor - AC Motor|1440.0,0.9567953091645203
MAKE_4,630.0833333333334,12,INDUSTRY_7|Motor - AC Motor|1440.0,0.9567953091645203
MAKE_1,414.4117647058824,17,INDUSTRY_7|Motor - AC Motor|1480.0,0.4711069935488841
MAKE_4,363.9375,16,INDUSTRY_7|Motor - AC Motor|1480.0,0.4711069935488841
MAKE_1,497.0416666666667,48,INDUSTRY_7|Motor - AC Motor|1485.0,0.07238211491252455
MAKE_4,344.53846153846155,13,INDUSTRY_7|Motor - AC Motor|1485.0,0.07238211491252455
MAKE_4,425.3636363636364,11,INDUSTRY_7|Motor - AC Motor|1488.0,0.7115826039240662
MAKE_1,392.5833333333333,12,INDUSTRY_7|Motor - AC Motor|1488.0,0.7115826039240662
MAKE_4,657.8181818181819,11,INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|985.0,0.050978157720707476
MAKE_1,530.4782608695652,23,INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|985.0,0.050978157720707476
